month,year,state,Deaths, Cases,so2,no2,rspm/pm,precipitation,population density, Number of Rural Hospitals (Govt.),Number of Urban Hospitals (Govt.),Birth Rate,% with toilets,Humidity,Average temp
Jun,2015,Jammu & Kashmir,0,17,3.6538461539999996,16.11538462,118.6923077,35.5,56.0,1402.0,567,17.6,82.21142324,27,15
Jul,2015,Jammu & Kashmir,0,41,3.523809524,13.85714286,116.5238095,100.5,56.0,1402.0,567,17.6,82.21142324,53,19
Aug,2015,Jammu & Kashmir,0,107,3.24,15.28,123.24,134.6,56.0,1402.0,567,17.6,82.21142324,60,19
Sep,2015,Jammu & Kashmir,0,201,3.130434783,16.34782609,136.69565219999998,362.8,56.0,1402.0,567,17.6,82.21142324,40,14
Oct,2015,Jammu & Kashmir,0,45,3.043478261,15.82608696,140.08695649999999,32.3,56.0,1402.0,567,17.6,82.21142324,32,10
Nov,2015,Jammu & Kashmir,0,19,3.965517241,15.86206897,111.2413793,19.7,56.0,1402.0,567,17.6,82.21142324,27,5
Dec,2015,Jammu & Kashmir,0,15,2.6842105259999998,15.89473684,124.8095238,3.2,56.0,1402.0,567,17.6,82.21142324,30,1
Jan,2015,Jharkhand,0,19,12.54761905,37.5,151.047619,9.9,414.0,545.0,4,24.7,75.70894928,49,19
Feb,2015,Jharkhand,0,12,13.96078431,37.52941176,167.48076919999997,47.5,414.0,545.0,4,24.7,75.70894928,36,23
Mar,2015,Jharkhand,0,6,13.41304348,37.39130435,179.6086957,22.9,414.0,545.0,4,24.7,75.70894928,32,27
Apr,2015,Jharkhand,0,6,20.37333333,38.42666667,164.6410256,1.9,414.0,545.0,4,24.7,75.70894928,36,32
May,2015,Jharkhand,0,12,20.33707865,38.57303371,162.66292130000002,98.2,414.0,545.0,4,24.7,75.70894928,36,35
Jun,2015,Jharkhand,0,25,28.72972973,39.0,149.4864865,139.7,414.0,545.0,4,24.7,75.70894928,54,33
Jul,2015,Jharkhand,0,60,28.44444444,36.88888889,106.19444440000001,321.3,414.0,545.0,4,24.7,75.70894928,71,29
Aug,2015,Jharkhand,0,156,31.70834788,38.22841113,127.66115690000001,290.9,414.0,545.0,4,24.7,75.70894928,72,29
Sep,2015,Jharkhand,0,292,34.71379082,38.31018157,120.96494750000001,178.2,414.0,545.0,4,24.7,75.70894928,58,28
Oct,2015,Jharkhand,0,66,18.625,36.375,198.25,44.9,414.0,545.0,4,24.7,75.70894928,69,26
Nov,2015,Jharkhand,0,28,18.66666667,35.0,215.0,0.0,414.0,545.0,4,24.7,75.70894928,49,23
Dec,2015,Jharkhand,0,22,18.75,36.625,211.0,1.2,414.0,545.0,4,24.7,75.70894928,48,21
Jan,2015,Karnataka,0,480,6.471111111,19.21333333,112.1585185,0.4,319.0,423.0,342,18.5,66.73085467,62,21
Feb,2015,Karnataka,0,320,6.757142857000001,20.92380952,118.86031750000001,8.6,319.0,423.0,342,18.5,66.73085467,48,22
Mar,2015,Karnataka,0,160,6.711009174,18.89908257,101.3562691,49.5,319.0,423.0,342,18.5,66.73085467,52,25
Apr,2015,Karnataka,0,160,5.71978022,16.25274725,103.5824176,104.7,319.0,423.0,342,18.5,66.73085467,51,28
May,2015,Karnataka,1,320,5.945,15.96,88.49466855,380.3,319.0,423.0,342,18.5,66.73085467,59,27
Jun,2015,Karnataka,0,640,5.720588235,16.37745098,78.38443224,649.9,319.0,423.0,342,18.5,66.73085467,68,25
Jul,2015,Karnataka,3,1520,5.435643563999999,14.26237624,73.18976898,1576.5,319.0,423.0,342,18.5,66.73085467,67,24
Aug,2015,Karnataka,0,3920,5.890322581,14.11612903,65.27439024,1565.7,319.0,423.0,342,18.5,66.73085467,77,24
Sep,2015,Karnataka,5,7361,5.5625,15.21354167,72.815,601.9,319.0,423.0,342,18.5,66.73085467,74,23
Oct,2015,Karnataka,0,1680,4.313186813,14.39010989,86.43915344,428.7,319.0,423.0,342,18.5,66.73085467,73,23
Nov,2015,Karnataka,0,720,3.934010152,16.89340102,79.96585366,77.9,319.0,423.0,342,18.5,66.73085467,84,21
Dec,2015,Karnataka,0,560,3.6378378380000003,17.36756757,95.54404145,60.6,319.0,423.0,342,18.5,66.73085467,75,21
Jan,2015,Kerala,0,537,3.782608696,14.1173913,53.40869565,4.6,860.0,9091.0,164,14.9,5.156098145,71,26
Feb,2015,Kerala,1,358,4.61965812,13.901709400000001,55.33760684,10.3,860.0,9091.0,164,14.9,5.156098145,69,27
Mar,2015,Kerala,1,179,4.0168776369999994,13.97890295,52.70042194,17.9,860.0,9091.0,164,14.9,5.156098145,74,28
Apr,2015,Kerala,1,179,3.973799127,13.36681223,45.74235808,95.7,860.0,9091.0,164,14.9,5.156098145,73,29
May,2015,Kerala,2,358,3.882075472,12.59433962,46.48584906,251.0,860.0,9091.0,164,14.9,5.156098145,78,29
Jun,2015,Kerala,8,717,3.724576271,12.605932199999998,42.56779661,454.4,860.0,9091.0,164,14.9,5.156098145,77,28
Jul,2015,Kerala,4,1703,3.9288888889999996,13.13777778,38.05333333,677.8,860.0,9091.0,164,14.9,5.156098145,78,27
Aug,2015,Kerala,2,4393,4.136752137,13.32051282,40.76068376,733.9,860.0,9091.0,164,14.9,5.156098145,79,27
Sep,2015,Kerala,1,8248,3.953488372,15.30232558,38.93023256,298.8,860.0,9091.0,164,14.9,5.156098145,76,27
Oct,2015,Kerala,2,1882,3.855140187,15.28037383,44.74299065,355.5,860.0,9091.0,164,14.9,5.156098145,77,28
Nov,2015,Kerala,1,806,3.75,16.02966102,43.91525424,99.5,860.0,9091.0,164,14.9,5.156098145,79,27
Dec,2015,Kerala,0,627,3.5738396619999997,17.59915612,47.84388186,47.2,860.0,9091.0,164,14.9,5.156098145,74,27
Jan,2015,Madhya Pradesh,0,71,11.84027778,18.55882353,101.83571429999999,57.7,236.0,1157.0,382,26.6,73.85973804,56,16
Feb,2015,Madhya Pradesh,0,47,10.16292135,18.98823529,123.38150290000002,84.1,236.0,1157.0,382,26.6,73.85973804,37,22
Mar,2015,Madhya Pradesh,0,23,10.59770115,20.00995025,123.3191489,22.4,236.0,1157.0,382,26.6,73.85973804,28,26
Apr,2015,Madhya Pradesh,0,23,9.80952381,20.19417476,128.1809524,6.5,236.0,1157.0,382,26.6,73.85973804,20,33
May,2015,Madhya Pradesh,0,47,9.747368421000001,19.74396135,121.2801932,3.9,236.0,1157.0,382,26.6,73.85973804,28,37
Jun,2015,Madhya Pradesh,0,95,10.11666667,20.12290503,95.03,122.4,236.0,1157.0,382,26.6,73.85973804,46,33
Jul,2015,Madhya Pradesh,0,227,11.24683544,20.51572327,85.31764706,620.8,236.0,1157.0,382,26.6,73.85973804,71,28
Aug,2015,Madhya Pradesh,0,585,11.09146341,19.36805556,85.15822785,442.8,236.0,1157.0,382,26.6,73.85973804,80,26
Sep,2015,Madhya Pradesh,1,1099,11.64375,20.41401274,93.21142857,332.2,236.0,1157.0,382,26.6,73.85973804,65,27
Oct,2015,Madhya Pradesh,5,251,10.49358974,19.30769231,104.90243899999999,63.4,236.0,1157.0,382,26.6,73.85973804,41,27
Nov,2015,Madhya Pradesh,0,107,11.13736264,21.37362637,106.49450549999999,4.9,236.0,1157.0,382,26.6,73.85973804,41,24
Dec,2015,Madhya Pradesh,0,83,10.87567568,18.78378378,106.3351351,28.7,236.0,1157.0,382,26.6,73.85973804,35,19
Jan,2015,Maharashtra,0,210,19.307129800000002,41.99295775,115.4045139,3.1,365.0,309.0,864,16.6,54.85309225,53,24
Feb,2015,Maharashtra,1,140,18.51588785,36.16283186,114.5731497,6.2,365.0,309.0,864,16.6,54.85309225,53,26
Mar,2015,Maharashtra,0,70,17.33097345,34.84537815,107.6627713,24.4,365.0,309.0,864,16.6,54.85309225,55,28
Apr,2015,Maharashtra,0,70,14.96422487,33.45068027,114.8692699,7.5,365.0,309.0,864,16.6,54.85309225,66,19
May,2015,Maharashtra,1,140,15.4938704,32.98248687,99.74736842,29.8,365.0,309.0,864,16.6,54.85309225,68,31
Jun,2015,Maharashtra,0,280,14.62680412,27.75090909,84.5970696,44.0,365.0,309.0,864,16.6,54.85309225,78,29
Jul,2015,Maharashtra,1,667,12.96366782,29.09913043,75.68531469,277.9,365.0,309.0,864,16.6,54.85309225,84,28
Aug,2015,Maharashtra,4,1720,13.86516854,28.0411985,72.08506616,240.3,365.0,309.0,864,16.6,54.85309225,84,27
Sep,2015,Maharashtra,11,3229,13.43985637,30.55834829,84.74159292,120.4,365.0,309.0,864,16.6,54.85309225,80,27
Oct,2015,Maharashtra,1,737,14.4775641,35.23237179,99.36984127,38.5,365.0,309.0,864,16.6,54.85309225,67,29
Nov,2015,Maharashtra,0,315,17.74230769,37.93392857,116.4162257,32.8,365.0,309.0,864,16.6,54.85309225,58,28
Dec,2015,Maharashtra,0,245,20.07119205,41.23676012,120.66666670000001,13.1,365.0,309.0,864,16.6,54.85309225,49,27
Jan,2015,Meghalaya,0,1,4.557377048999999,10.44262295,70.60655738,1.2,132.0,29.0,11,24.1,50.90644708,82,11
Feb,2015,Meghalaya,0,0,4.095238095,10.34920635,69.19047619,21.0,132.0,29.0,11,24.1,50.90644708,78,12
Mar,2015,Meghalaya,0,0,4.455882353,10.41176471,68.29411765,25.4,132.0,29.0,11,24.1,50.90644708,67,16
Apr,2015,Meghalaya,0,0,4.916666667,10.75,56.83333333,49.6,132.0,29.0,11,24.1,50.90644708,86,17
May,2015,Meghalaya,0,0,5.033333333,10.95,58.95,192.5,132.0,29.0,11,24.1,50.90644708,88,20
Jun,2015,Meghalaya,0,1,4.757142857,10.61428571,49.37142857,268.3,132.0,29.0,11,24.1,50.90644708,94,21
Jul,2015,Meghalaya,0,4,6.125,11.48611111,51.15277778,295.7,132.0,29.0,11,24.1,50.90644708,95,21
Aug,2015,Meghalaya,0,11,6.19047619,10.49206349,37.87301587,372.3,132.0,29.0,11,24.1,50.90644708,96,21
Sep,2015,Meghalaya,0,21,2.0,5.0,18.57142857,300.9,132.0,29.0,11,24.1,50.90644708,94,21
Oct,2015,Meghalaya,0,4,4.617478303,8.444371991,24.77389165,69.6,132.0,29.0,11,24.1,50.90644708,92,17
Nov,2015,Meghalaya,0,2,4.604726929,8.12222296,19.04326697,3.3,132.0,29.0,11,24.1,50.90644708,88,13
Dec,2015,Meghalaya,0,1,4.591975555,7.800073929,13.31264229,0.1,132.0,29.0,11,24.1,50.90644708,87,10
Jan,2015,Manipur,0,5,4.557377048999999,10.44262295,70.60655738,1.2,128.0,217.0,8,14.6,57.50806929,78,14
Feb,2015,Manipur,0,3,4.095238095,10.34920635,69.19047619,21.0,128.0,217.0,8,14.6,57.50806929,70,15
Mar,2015,Manipur,0,1,4.455882353,10.41176471,68.29411765,25.4,128.0,217.0,8,14.6,57.50806929,57,20
Apr,2015,Manipur,0,1,4.916666667,10.75,56.83333333,49.6,128.0,217.0,8,14.6,57.50806929,72,23
May,2015,Manipur,0,3,5.033333333,10.95,58.95,192.5,128.0,217.0,8,14.6,57.50806929,73,25
Jun,2015,Manipur,0,6,4.757142857,10.61428571,49.37142857,268.3,128.0,217.0,8,14.6,57.50806929,84,25
Jul,2015,Manipur,0,16,6.125,11.48611111,51.15277778,295.7,128.0,217.0,8,14.6,57.50806929,92,24
Aug,2015,Manipur,0,42,6.19047619,10.49206349,37.87301587,372.3,128.0,217.0,8,14.6,57.50806929,91,24
Sep,2015,Manipur,0,79,2.0,5.0,18.57142857,300.9,128.0,217.0,8,14.6,57.50806929,86,24
Oct,2015,Manipur,0,18,4.617478303,8.444371991,24.77389165,69.6,128.0,217.0,8,14.6,57.50806929,84,22
Nov,2015,Manipur,0,7,4.604726929,8.12222296,19.04326697,3.3,128.0,217.0,8,14.6,57.50806929,81,18
